BNAME,IDENT,NUM_CLIENTS,ARGS,SAMPLE_SIZE,THROUGHPUT,TIME_UNIT,MEAN,MEDIAN,MIN,MAX,P25,P75,P5,P95,P1,P99
micro,E2E,100,shredder:read_single:1:1000,100,0,ms,5.62735796,5.257368088,4.337787628,26.03769302,4.985928535,5.650043488,4.602789879,6.645298004,4.457457066,12.59624243
micro,SCHEDULER,100,shredder:read_single:1:1000,100,0,ms,1.717863083,1.507639885,1.413822174,22.03607559,1.483678818,1.524269581,1.447165012,1.555323601,1.427512169,2.627203465
micro,KVS,100,shredder:read_single:1:1000,100,0,ms,3.909494877,3.739833832,2.85410881,10.95581055,3.495872021,4.126429558,3.097295761,4.773449898,2.96528101,6.294131279
micro,E2E,100,shredder:read_single:8:8000,100,0,ms,5.595300198,5.245923996,4.400968552,32.61995316,4.946172237,5.56153059,4.613733292,5.83050251,4.539992809,9.082839489
micro,SCHEDULER,100,shredder:read_single:8:8000,100,0,ms,1.691827774,1.388549805,1.172542572,28.99169922,1.351296902,1.42365694,1.274049282,1.461970806,1.24925375,4.846088886
micro,KVS,100,shredder:read_single:8:8000,100,0,ms,3.903472424,3.873229027,3.126859665,7.440328598,3.571033478,4.136860371,3.224050999,4.361093044,3.146214485,6.201856136
micro,E2E,100,shredder:read_single:32:32000,100,0,ms,5.806324482,5.655407906,4.972934723,11.85894012,5.519628525,5.808830261,5.034148693,7.573843002,4.984028339,8.787660599
micro,SCHEDULER,100,shredder:read_single:32:32000,100,0,ms,1.432461739,1.438498497,1.274108887,1.675844193,1.409053802,1.455545425,1.372730732,1.474201679,1.367578506,1.489377022
micro,KVS,100,shredder:read_single:32:32000,100,0,ms,4.373862743,4.217743874,3.533840179,10.46538353,4.097044468,4.368901253,3.611981869,6.157386303,3.536436558,7.379469872
micro,E2E,100,shredder:read_single:128:128000,100,0,ms,6.333141327,5.71000576,5.057811737,35.14862061,5.587279797,6.056845188,5.229711533,8.170151711,5.101714134,13.87696505
micro,SCHEDULER,100,shredder:read_single:128:128000,100,0,ms,1.740272045,1.440525055,1.291513443,30.55930138,1.417338848,1.456797123,1.377129555,1.501083374,1.339664459,2.59087801
micro,KVS,100,shredder:read_single:128:128000,100,0,ms,4.592869282,4.265785217,3.644227982,12.22872734,4.146814346,4.58574295,3.794288635,6.387710571,3.662638664,10.47050714
micro,E2E,100,shredder:read_single:512:512000,100,0,ms,5.748119354,5.615592003,4.648923874,10.86497307,5.412518978,5.900323391,5.065357685,6.462585926,4.822173119,8.794243336
micro,SCHEDULER,100,shredder:read_single:512:512000,100,0,ms,1.442089081,1.436233521,1.289606094,2.238512039,1.400768757,1.467347145,1.326036453,1.504564285,1.296923161,1.990439892
micro,KVS,100,shredder:read_single:512:512000,100,0,ms,4.306030273,4.176020622,3.264427185,9.416341782,3.964006901,4.453897476,3.633904457,5.011177063,3.343498707,7.265124321
micro,E2E,100,shredder:update_single:1:1000,100,0,ms,6.280727386,5.987048149,5.153417587,12.47167587,5.732834339,6.27219677,5.221712589,8.75620842,5.192127228,12.39685297
micro,SCHEDULER,100,shredder:update_single:1:1000,100,0,ms,1.498994827,1.440644264,1.180887222,5.477905273,1.411855221,1.485049725,1.327252388,1.540088654,1.21888876,2.304422855
micro,KVS,100,shredder:update_single:1:1000,100,0,ms,4.781732559,4.508137703,3.748178482,11.06834412,4.280805588,4.775583744,3.899073601,6.352090836,3.759980202,11.04308844
micro,E2E,100,shredder:update_single:8:8000,100,0,ms,6.95748806,6.00039959,5.284786224,56.19192123,5.772471428,6.321132183,5.417025089,8.978259563,5.300836563,34.6733737
micro,SCHEDULER,100,shredder:update_single:8:8000,100,0,ms,2.277238369,1.514554024,1.226663589,51.66888237,1.491904259,1.533865929,1.380646229,1.549494267,1.264665127,29.26260948
micro,KVS,100,shredder:update_single:8:8000,100,0,ms,4.680249691,4.49180603,3.751039505,8.758306503,4.25952673,4.800140858,3.928637505,6.175374985,3.762841225,8.019990921
micro,E2E,100,shredder:update_single:32:32000,100,0,ms,6.689600945,6.518483162,5.342245102,12.87937164,6.295382977,6.856203079,5.941987038,7.763886452,5.701725483,9.2623806
micro,SCHEDULER,100,shredder:update_single:32:32000,100,0,ms,1.489009857,1.484870911,1.391887665,2.336740494,1.452863216,1.505970955,1.420462132,1.54337883,1.394720078,1.70794487
micro,KVS,100,shredder:update_single:32:32000,100,0,ms,5.200591087,5.046606064,3.932237625,11.38186455,4.816293716,5.362570286,4.481351376,6.261777878,4.273307323,7.803583145
micro,E2E,100,shredder:update_single:128:128000,100,0,ms,6.699576378,6.541609764,5.813837051,9.889364243,6.337225437,6.783008575,5.97769022,8.639144897,5.818321705,9.745619297
micro,SCHEDULER,100,shredder:update_single:128:128000,100,0,ms,1.532769203,1.510500908,1.358509064,4.440784454,1.487195492,1.527428627,1.424026489,1.561200619,1.413505077,1.692872047
micro,KVS,100,shredder:update_single:128:128000,100,0,ms,5.166807175,5.045771599,4.264354706,8.432149887,4.847347736,5.269408226,4.489839077,6.048166752,4.330208302,7.798397541
micro,E2E,100,shredder:update_single:512:512000,100,0,ms,6.346795559,6.139874458,4.801034927,15.17701149,5.687475204,6.534337997,5.342030525,7.833409309,5.003552437,12.14916229
micro,SCHEDULER,100,shredder:update_single:512:512000,100,0,ms,1.453704834,1.450419426,1.365423203,1.656293869,1.433312893,1.465916634,1.407504082,1.518750191,1.369199753,1.53544426
micro,KVS,100,shredder:update_single:512:512000,100,0,ms,4.893090725,4.686713219,3.343105316,13.76080513,4.255831242,5.083739758,3.891408443,6.185293198,3.573002815,10.70958853
micro,E2E,100,anna:read_single:1:1000,100,0,ms,5.278804302,5.031466484,4.070520401,12.13121414,4.846453667,5.278110504,4.333972931,7.191073895,4.236688614,11.11768246
micro,SCHEDULER,100,anna:read_single:1:1000,100,0,ms,1.440498829,1.415491104,1.25002861,2.171278,1.394450665,1.491308212,1.335132122,1.555585861,1.30266428,1.728241444
micro,KVS,100,anna:read_single:1:1000,100,0,ms,3.838305473,3.6008358,2.679347992,10.75077057,3.37690115,3.78715992,2.906417847,5.665683746,2.732691765,9.683895111
micro,E2E,100,anna:read_single:8:8000,100,0,ms,5.140695572,4.945755005,4.195690155,12.44235039,4.734396935,5.21594286,4.340577126,5.921137333,4.275233746,10.56516886
micro,SCHEDULER,100,anna:read_single:8:8000,100,0,ms,1.509957314,1.506924629,1.410722733,2.251386642,1.477301121,1.53118372,1.420402527,1.560842991,1.413555145,1.588366032
micro,KVS,100,anna:read_single:8:8000,100,0,ms,3.630738258,3.430485725,2.732515335,10.88190079,3.231883049,3.670215607,2.831959724,4.395997524,2.766032219,9.044137001
micro,E2E,100,anna:read_single:32:32000,100,0,ms,5.375962257,5.056500435,4.266262054,13.0944252,4.829108715,5.259871483,4.406094551,8.17438364,4.279243946,12.13801384
micro,SCHEDULER,100,anna:read_single:32:32000,100,0,ms,1.47875309,1.484155655,1.404762268,1.659393311,1.453459263,1.502811909,1.420879364,1.529705524,1.406650543,1.543264389
micro,KVS,100,anna:read_single:32:32000,100,0,ms,3.897209167,3.561496735,2.775192261,11.5916729,3.334164619,3.785967827,2.94252634,6.660544872,2.822871208,10.62912464
micro,E2E,100,anna:read_single:128:128000,100,0,ms,5.340902805,5.100011826,4.365444183,12.85028458,4.841327667,5.334794521,4.470229149,6.683135033,4.422800541,12.29701996
micro,SCHEDULER,100,anna:read_single:128:128000,100,0,ms,1.488671303,1.483559608,1.345396042,2.254486084,1.4564991,1.50424242,1.426839828,1.53055191,1.397087574,1.759757996
micro,KVS,100,anna:read_single:128:128000,100,0,ms,3.852231503,3.61931324,2.87604332,11.32392883,3.358960152,3.823161125,2.989721298,5.248558521,2.93245554,10.83179712
micro,E2E,100,anna:read_single:512:512000,100,0,ms,5.361812115,5.143284798,4.426240921,12.52317429,4.925906658,5.395174026,4.600536823,6.624865532,4.447956085,11.02010727
micro,SCHEDULER,100,anna:read_single:512:512000,100,0,ms,1.405386925,1.412272453,1.25002861,1.63936615,1.366496086,1.445531845,1.304864883,1.478111744,1.263482571,1.503646374
micro,KVS,100,anna:read_single:512:512000,100,0,ms,3.95642519,3.717184067,3.053665161,11.05618477,3.505170345,4.004538059,3.155505657,4.996907711,3.060274124,9.654376507
micro,E2E,100,anna:update_single:1:1000,100,0,ms,6.148543358,5.630016327,4.689693451,17.62962341,5.422830582,6.01965189,5.044913292,11.42150164,4.861526489,14.7025609
micro,SCHEDULER,100,anna:update_single:1:1000,100,0,ms,1.447825432,1.448988914,1.280784607,1.901865005,1.398980618,1.491844654,1.337504387,1.53169632,1.285977364,1.675744057
micro,KVS,100,anna:update_single:1:1000,100,0,ms,4.700717926,4.169940948,3.369808197,16.10803604,3.99261713,4.540085793,3.564107418,10.09311676,3.37854147,13.21543455
micro,E2E,100,anna:update_single:8:8000,100,0,ms,6.180136204,5.720973015,4.663228989,16.74318314,5.400359631,6.061017513,4.99727726,9.802258015,4.813818932,16.49817944
micro,SCHEDULER,100,anna:update_single:8:8000,100,0,ms,1.481575966,1.480340958,1.354217529,2.293586731,1.45149231,1.498520374,1.398253441,1.522433758,1.368615627,1.615695953
micro,KVS,100,anna:update_single:8:8000,100,0,ms,4.698560238,4.234433174,3.231287003,15.22159576,3.921091557,4.57161665,3.48893404,8.33632946,3.348596096,14.9912262
micro,E2E,100,anna:update_single:32:32000,100,0,ms,6.303322315,5.843162537,4.796981812,13.82946968,5.563259125,6.293833256,5.151844025,12.58307695,4.894227982,13.43198776
micro,SCHEDULER,100,anna:update_single:32:32000,100,0,ms,1.500780582,1.495718956,1.404523849,2.259492874,1.481771469,1.507937908,1.44970417,1.529967785,1.43355608,1.62101984
micro,KVS,100,anna:update_single:32:32000,100,0,ms,4.802541733,4.356741905,3.291606903,12.33696938,4.06485796,4.796266556,3.66165638,11.09237671,3.37469101,11.92154884
micro,E2E,100,anna:update_single:128:128000,100,0,ms,6.168084145,5.787611008,4.841089249,14.83225822,5.57410717,6.165146828,5.111801624,8.781421185,4.851710796,13.39174032
micro,SCHEDULER,100,anna:update_single:128:128000,100,0,ms,1.489005089,1.492619514,1.367092133,1.641273499,1.474201679,1.508772373,1.426076889,1.529943943,1.370632648,1.562674046
micro,KVS,100,anna:update_single:128:128000,100,0,ms,4.679079056,4.30727005,3.366947174,13.3163929,4.094779491,4.655718803,3.604996204,7.267689705,3.390786648,11.8999505
micro,E2E,100,anna:update_single:512:512000,100,0,ms,6.271977425,5.743265152,4.893302917,16.52669907,5.610108376,6.09767437,5.222463608,9.727680683,4.97190237,15.12111425
micro,SCHEDULER,100,anna:update_single:512:512000,100,0,ms,1.520469189,1.492619514,1.395463943,3.342151642,1.478850842,1.510083675,1.420557499,1.546430588,1.405377388,2.221224308
micro,KVS,100,anna:update_single:512:512000,100,0,ms,4.751508236,4.255175591,3.391981125,15.00844955,4.117846489,4.587471485,3.703272343,8.250975609,3.482618332,13.62835646